product_id,product_name,category,sub_category,cost_price,retail_price,weight_kg
PROD-1001,Pro Smartphone 5G 256GB,Electronics,Smartphones,350.0,799.0,7.98
PROD-1002,Pro Smartphone 5G 256GB - Pro Edition,Electronics,Smartphones,437.5,1022.72,12.11
PROD-1003,Pro Smartphone 5G 256GB - Plus,Electronics,Smartphones,402.5,942.82,10.66
PROD-1004,Pro Smartphone 5G 256GB - Standard Pack,Electronics,Smartphones,315.0,735.08,2.46
PROD-1005,Pro Smartphone 5G 256GB - Midnight Black,Electronics,Smartphones,350.0,799.0,10.03
PROD-1006,Pro Smartphone 5G 256GB - Space Gray,Electronics,Smartphones,350.0,-799.0,10.54
PROD-1007,Pro Smartphone 5G 256GB - Arctic White,Electronics,Smartphones,350.0,799.0,10.52
PROD-1008,Pro Smartphone 5G 256GB - Special Bundle,Electronics,Smartphones,507.5,1118.6,2.27
PROD-1009,Ultra Flagship Phone 512GB,Electronics,Smartphones,520.0,1199.0,1.33
PROD-1010,Ultra Flagship Phone 512GB - Pro Edition,Electronics,Smartphones,650.0,1534.72,9.24
PROD-1011,Ultra Flagship Phone 512GB - Plus,Electronics,Smartphones,598.0,1414.82,10.24
PROD-1012,Ultra Flagship Phone 512GB - Standard Pack,Electronics,Smartphones,468.0,1103.08,11.71
PROD-1013,Ultra Flagship Phone 512GB - Midnight Black,Electronics,Smartphones,520.0,1199.0,1.44
PROD-1014,Ultra Flagship Phone 512GB - Space Gray,Electronics,Smartphones,520.0,1199.0,0.48
PROD-1015,Ultra Flagship Phone 512GB - Arctic White,Electronics,Smartphones,520.0,1199.0,5.34
PROD-1016,Ultra Flagship Phone 512GB - Special Bundle,Electronics,Smartphones,754.0,1678.6,9.45
PROD-1017,Budget Smartphone 64GB,Electronics,Smartphones,95.0,199.0,5.15
PROD-1018,Budget Smartphone 64GB - Pro Edition,Electronics,Smartphones,118.75,254.72,7.29
PROD-1019,Budget Smartphone 64GB - Plus,Electronics,Smartphones,109.25,234.82,12.02
PROD-1020,Budget Smartphone 64GB - Standard Pack,Electronics,Smartphones,85.5,183.08,7.49
PROD-1021,Budget Smartphone 64GB - Midnight Black,Electronics,Smartphones,95.0,199.0,4.85
PROD-1022,Budget Smartphone 64GB - Space Gray,Electronics,Smartphones,95.0,199.0,6.2
PROD-1023,Budget Smartphone 64GB - Arctic White,Electronics,Smartphones,95.0,199.0,0.94
PROD-1024,Budget Smartphone 64GB - Special Bundle,Electronics,Smartphones,137.75,278.6,2.3
PROD-1025,Foldable Smartphone 256GB,Electronics,Smartphones,680.0,1399.0,4.64
PROD-1026,Foldable Smartphone 256GB - Pro Edition,Electronics,Smartphones,850.0,1790.72,0.82
PROD-1027,Foldable Smartphone 256GB - Plus,Electronics,Smartphones,782.0,1650.82,2.15
PROD-1028,Foldable Smartphone 256GB - Standard Pack,Electronics,Smartphones,612.0,1287.08,1.52
PROD-1029,Foldable Smartphone 256GB - Midnight Black,Electronics,Smartphones,680.0,1399.0,5.73
PROD-1030,Foldable Smartphone 256GB - Space Gray,Electronics,Smartphones,680.0,1399.0,11.54
PROD-1031,Foldable Smartphone 256GB - Arctic White,Electronics,Smartphones,680.0,1399.0,4.53
PROD-1032,Foldable Smartphone 256GB - Special Bundle,Electronics,Smartphones,986.0,1958.6,10.04
PROD-1033,Ultrabook Laptop 14-inch,Electronics,Laptops & Computers,420.0,899.0,11.98
PROD-1034,Ultrabook Laptop 14-inch - Pro Edition,Electronics,Laptops & Computers,525.0,1150.72,5.13
PROD-1035,Ultrabook Laptop 14-inch - Plus,Electronics,Laptops & Computers,483.0,1060.82,2.85
PROD-1036,Ultrabook Laptop 14-inch - Standard Pack,Electronics,Laptops & Computers,378.0,827.08,6.01
PROD-1037,Ultrabook Laptop 14-inch - Midnight Black,Electronics,Laptops & Computers,420.0,899.0,12.05
PROD-1038,Ultrabook Laptop 14-inch - Space Gray,Electronics,Laptops & Computers,420.0,899.0,6.99
PROD-1039,Ultrabook Laptop 14-inch - Arctic White,Electronics,Laptops & Computers,420.0,899.0,5.48
PROD-1040,Ultrabook Laptop 14-inch - Special Bundle,Electronics,Laptops & Computers,609.0,1258.6,9.23
PROD-1041,Pro Gaming Laptop 16-inch,Electronics,Laptops & Computers,780.0,1599.0,6.33
PROD-1042,Pro Gaming Laptop 16-inch - Pro Edition,Electronics,Laptops & Computers,975.0,2046.72,4.15
PROD-1043,Pro Gaming Laptop 16-inch - Plus,Electronics,Laptops & Computers,897.0,1886.82,11.57
PROD-1044,Pro Gaming Laptop 16-inch - Standard Pack,Electronics,Laptops & Computers,702.0,1471.08,1.73
PROD-1045,Pro Gaming Laptop 16-inch - Midnight Black,Electronics,Laptops & Computers,780.0,1599.0,1.71
PROD-1046,Pro Gaming Laptop 16-inch - Space Gray,Electronics,Laptops & Computers,780.0,1599.0,10.24
PROD-1047,Pro Gaming Laptop 16-inch - Arctic White,Electronics,Laptops & Computers,780.0,1599.0,5.95
PROD-1048,Pro Gaming Laptop 16-inch - Special Bundle,Electronics,Laptops & Computers,1131.0,2238.6,3.44
PROD-1049,Compact Desktop Mini PC,Electronics,Laptops & Computers,260.0,549.0,12.18
PROD-1050,Compact Desktop Mini PC - Pro Edition,Electronics,Laptops & Computers,325.0,702.72,6.13
PROD-1051,Compact Desktop Mini PC - Plus,Electronics,Laptops & Computers,299.0,647.82,8.68
PROD-1052,Compact Desktop Mini PC - Standard Pack,Electronics,Laptops & Computers,234.0,505.08,10.75
PROD-1053,Compact Desktop Mini PC - Midnight Black,Electronics,Laptops & Computers,260.0,549.0,10.56
PROD-1054,Compact Desktop Mini PC - Space Gray,Electronics,Laptops & Computers,260.0,549.0,11.39
PROD-1055,Compact Desktop Mini PC - Arctic White,Electronics,Laptops & Computers,260.0,549.0,7.0
PROD-1056,Compact Desktop Mini PC - Special Bundle,Electronics,Laptops & Computers,377.0,768.6,9.16
PROD-1057,4K USB-C Monitor 27-inch,Electronics,Laptops & Computers,160.0,349.0,7.51
PROD-1058,4K USB-C Monitor 27-inch - Pro Edition,Electronics,Laptops & Computers,200.0,446.72,9.02
PROD-1059,4K USB-C Monitor 27-inch - Plus,Electronics,Laptops & Computers,184.0,411.82,7.1
PROD-1060,4K USB-C Monitor 27-inch - Standard Pack,Electronics,Laptops & Computers,144.0,321.08,11.11
PROD-1061,4K USB-C Monitor 27-inch - Midnight Black,Electronics,Laptops & Computers,160.0,349.0,2.79
PROD-1062,4K USB-C Monitor 27-inch - Space Gray,Electronics,Laptops & Computers,160.0,349.0,11.34
PROD-1063,4K USB-C Monitor 27-inch - Arctic White,Electronics,Laptops & Computers,160.0,349.0,1.6
PROD-1064,4K USB-C Monitor 27-inch - Special Bundle,Electronics,Laptops & Computers,232.0,488.6,11.38
PROD-1065,Wireless Noise-Cancelling Headphones,Electronics,Audio & Headphones,85.0,229.0,10.1
PROD-1066,Wireless Noise-Cancelling Headphones - Pro Edition,Electronics,Audio & Headphones,106.25,293.12,0.23
PROD-1067,Wireless Noise-Cancelling Headphones - Plus,Electronics,Audio & Headphones,97.75,270.22,9.09
PROD-1068,Wireless Noise-Cancelling Headphones - Standard Pack,Electronics,Audio & Headphones,76.5,210.68,2.01
PROD-1069,Wireless Noise-Cancelling Headphones - Midnight Black,Electronics,Audio & Headphones,85.0,229.0,4.81
